Index,ARG,cARG_abundance,cARG_cDB_abundance,total_reads
MHH256,0.000398208,2.80E-06,2.03E-06,22146722
MHH558,0.001055519,7.52E-06,4.94E-06,14363551
MHH375,0.000592782,5.21E-06,3.88E-06,30901749
MHH576,0.002322681,1.21E-05,4.19E-06,29361324
MHH580,0.003092474,6.34E-05,5.53E-05,10591198
MHH541,0.000630572,7.41E-06,5.24E-06,7829402
MHH574,0.000750966,4.31E-05,4.20E-05,27315485
MBH093,0.000543259,2.42E-06,1.01E-06,22720293
MHH388,0.001168192,3.30E-05,2.97E-05,31707981
MBS1145,0.001552815,0.000272263,0.000267829,7441323
MBS1134,0.00249149,0.000102743,9.63E-05,7328948
MHH363,0.001079846,1.29E-05,9.58E-06,25160065
MHH589,0.000432572,1.52E-06,1.10E-06,11810750
MHH527,0.00188268,5.92E-05,5.46E-05,19750566
MHH356,0.000473391,4.60E-06,3.65E-06,24351955
MBH066,0.000717595,1.86E-05,1.71E-05,16895319
MBH072,0.000257756,1.49E-06,9.11E-07,20856946
MHS134,0.000358447,1.77E-06,1.26E-06,13536164
MHH380,0.000334195,2.19E-06,1.51E-06,26454613
MHH531,0.002070631,1.46E-05,1.01E-05,17120385
MHS118,0.000747498,8.59E-06,7.22E-06,10246177
MBS1143,0.000482778,1.69E-05,1.59E-05,24137396
MBH051,0.000692398,2.09E-05,1.91E-05,38313226
MHH528,0.000754218,2.08E-05,1.88E-05,16202222
MHS133,0.000767854,2.14E-06,9.50E-07,16840444
MHH377,0.000636504,6.90E-06,6.39E-06,3913568
MHH592,0.001093368,6.69E-05,6.42E-05,33096820
MHH364,0.001374772,4.57E-05,4.31E-05,29231755
MHH347,0.000608673,2.67E-06,1.99E-06,20621921
MHH578,0.000904,1.51E-05,1.34E-05,12829646
MBS1139,0.00172664,4.60E-05,4.12E-05,13931103
MHH583,0.010263935,0.000396962,0.000351627,18639051
MHH366,0.00042821,4.51E-06,3.93E-06,20599699
MHS140,0.000413459,1.36E-06,3.64E-07,10995043
MBS1124,0.000641354,4.98E-06,2.76E-06,18492128
MHH515,0.001150521,1.25E-05,1.09E-05,12992371
MBH056,0.000643937,2.35E-05,2.20E-05,30152013
